Restaurant Name,Address,Average Yelp Review,#Pass Inspection,#Conditional Inspection,#Failed Inspection
Sbarro Italian Eatery,"Sbarro Italian Eatery - The Loop - Chicago, IL",3,36,5,6
The Metropolitan Club,"The Metropolitan Club - The Loop - Chicago, IL",4,8,6,3
Flavor 180,"Flavor 180 - Near Southside - Chicago, IL",4,9,0,4
The Scout,"The Scout - Near Southside - Chicago, IL",3,10,2,1
Petra Cafe,"Petra Cafe - CLOSED - The Loop - Chicago, IL",3,1,0,0
Alonti Market Cafe,"Alonti Market Cafe - The Loop - Chicago, IL",4,0,0,0
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",4,33,13,8
Davino's Little Pompei,"Davino's Little Pompei - CLOSED - Chicago, IL",3,0,0,0
Cafe 200,"Cafe 200 - CLOSED - The Loop - Chicago, IL",3,0,0,0
Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",3,73,20,12
The India Grill,"The India Grill - CLOSED - South Loop - Chicago, IL",2,0,0,1
Mediterranean Delight,"Mediterranean Delight - The Loop - Chicago, IL",3,0,0,1
Lalo's Restaurant,"Lalo's Restaurant - CLOSED - South Loop - Chicago, IL",3,0,0,0
Green Apple Cafe,"Green Apple Cafe - Chicago, IL",4,0,0,0
Ponte Fresco,"Ponte Fresco - CLOSED - The Loop - Chicago, IL",4,3,1,1
Quizno's Sub's,"Quizno's Sub's - CLOSED - Chicago, IL",3,0,0,1
5411 Empanadas,"5411 Empanadas - Lakeview - Chicago, IL",4,2,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",4,10,6,1
Russian Tea Time,"Russian Tea Time - The Loop - Chicago, IL",4,9,3,2
Shikago Restaurant,"Shikago Restaurant - CLOSED - The Loop - Chicago, IL",3,0,0,0
Marcello's Market & Deli,"Marcello's Market & Deli - The Loop - Chicago, IL",3,14,2,5
Popeye's Famous Fried Chicken,"Popeye's Famous Fried Chicken - The Loop - Chicago, IL",3,0,0,0
Med Kitchen,"Med Kitchen - The Loop - Chicago, IL",4,8,1,3
Haifa Cafe,"Haifa Cafe - CLOSED - The Loop - Chicago, IL",4,8,2,5
Off the Tracks Grill,"Off the Tracks Grill - The Loop - Chicago, IL",4,8,3,0
McDonald's,"McDonald's - Near Southside - Chicago, IL",3,42,1,13
Einstein Bros Bagels,"Einstein Bros Bagels - The Loop - Chicago, IL",2,0,0,0
A Mano,"A Mano - CLOSED - Near North Side - Chicago, IL",4,0,0,0
Eat & Drink,"Eat & Drink - The Loop - Chicago, IL",3,4,0,0
Subway,"Subway - The Loop - Chicago, IL",4,187,21,29
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
The Chicago Firehouse Restaurant,"The Chicago Firehouse Restaurant - Near Southside - Chicago, IL",4,4,0,5
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",4,48,11,8
Cosi,"Cosi - The Loop - Chicago, IL",4,31,7,8
Olive Mediterranean Grill,"Olive Mediterranean Grill - The Loop - Chicago, IL",4,4,1,1
Mezza,"Mezza - The Loop - Chicago, IL",4,19,6,5
KFC & Pizza Hut Express,"KFC & Pizza Hut Express - CLOSED - South Loop - Chicago, IL",1,3,2,1
Cocina Barro,"Cocina Barro - CLOSED - The Loop - Chicago, IL",3,0,0,0
Potbelly Sandwich Works,"Potbelly Sandwich Works - Near West Side - Chicago, IL",4,48,11,8
Tavern At The Park,"Tavern At The Park - The Loop - Chicago, IL",4,10,0,4
Cereality Cereal Bar & Cafe,"Cereality Cereal Bar & Cafe - CLOSED - The Loop - Chicago, IL",4,0,0,0
Caffe Baci,"Caffe Baci - CLOSED - The Loop - Chicago, IL",4,33,5,5
Houlihan's,"Houlihan's - The Loop - Chicago, IL",3,7,1,3
Hi Tea,"Hi Tea - CLOSED - South Loop - Chicago, IL",4,0,0,0
Panda Express,"Panda Express - The Loop - Chicago, IL",4,12,0,1
Chipotle Mexican Grill,"Chipotle Mexican Grill - CLOSED - The Loop - Chicago, IL",1,73,20,12
Nino Paninos,"Nino Paninos - Near West Side - Chicago, IL",4,0,0,0
Barro Mexican Cruisine,"Barro Mexican Cruisine - CLOSED - The Loop - Chicago, IL",3,0,0,0
Sixty Five Chinese Restaurants,"Sixty Five Chinese Restaurants - CLOSED - The Loop - Chicago, IL",4,11,1,0
Potbelly Sandwich Shop,"Potbelly Sandwich Shop - The Loop - Chicago, IL",4,0,0,0
La Cocina,"La Cocina - The Loop - Chicago, IL",3,0,0,0
The Grille on Jackson,"The Grille on Jackson - The Loop - Chicago, IL",2,0,0,0
Mac Kelly's Greens & Things,"Mac Kelly's Greens & Things - Chicago, IL",4,4,1,1
Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",2,44,11,6
China Grill,"China Grill - CLOSED - The Loop - Chicago, IL",3,2,0,0
Chutney Joe's,"Chutney Joe's - Near West Side - Chicago, IL",2,0,0,0
Caffe Baci,"Caffe Baci - The Loop - Chicago, IL",4,33,5,5
McDonald's,"McDonald's - The Loop - Chicago, IL",3,42,1,13
Waffles,"Waffles - Near Southside - Chicago, IL",3,7,1,5
Venice Cafe,"Venice Cafe - The Loop - Chicago, IL",4,7,3,2
Tokyo Lunchbox,"Tokyo Lunchbox - The Loop - Chicago, IL",3,0,0,0
Rosebud Prime,"Rosebud Prime - The Loop - Chicago, IL",4,8,2,2
Hot Woks Cool Sushi,"Hot Woks Cool Sushi - The Loop - Chicago, IL",4,18,5,2
Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",4,10,6,1
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",3,48,11,8
Trader Vics,"Trader Vics - CLOSED - The Loop - Chicago, IL",5,0,0,0
Bennigan's Grill & Tavern,"Bennigan's Grill & Tavern - The Loop - Chicago, IL",3,0,0,0
Tahini Mediterranean Cafe,"Tahini Mediterranean Cafe - CLOSED - The Loop - Chicago, IL",3,0,0,0
Pizza-Ria,"Pizza-Ria - CLOSED - South Loop - Chicago, IL",4,0,0,0
Panera Bread,"Panera Bread - The Loop - Chicago, IL",4,15,1,7
Pockets,"Pockets - Printer's Row - Chicago, IL",4,16,3,2
Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",3,118,23,19
Vista Carry Out,"Vista Carry Out - The Loop - Chicago, IL",3,0,0,0
Triple 1 Chinese Restaurant,"Triple 1 Chinese Restaurant - CLOSED - The Loop - Chicago, IL",4,0,0,0
La Cocina,"La Cocina - The Loop - Chicago, IL",4,0,0,0
Allstars Sports Bar & Grill,"Allstars Sports Bar & Grill - The Loop - Chicago, IL",3,0,0,0
The Lounge,"The Lounge - The Loop - Chicago, IL",4,0,0,0
Jimmy John's,"Jimmy John's - The Loop - Chicago, IL",4,33,13,8
Chicago Carry Out,"Chicago Carry Out - South Loop - Chicago, IL",3,0,0,0
Chicago Pizza Tours,"Chicago Pizza Tours - The Loop - Chicago, IL",5,0,0,0
Primebar Chicago,"Primebar Chicago - The Loop - Chicago, IL",4,0,0,0
Potbelly Sandwich Works,"Potbelly Sandwich Works - The Loop - Chicago, IL",4,48,11,8
Market Creations,"Market Creations - The Loop - Chicago, IL",4,33,12,7
Chi-Town Pizza Express,"Chi-Town Pizza Express - The Loop - Chicago, IL",3,0,1,0
Metro Deli & Cafe,"Metro Deli & Cafe - Near West Side - Chicago, IL",3,5,5,0
Asian Chao and Villa Italian,"Asian Chao and Villa Italian - The Loop - Chicago, IL",2,0,0,0
La Cocina,"La Cocina - The Loop - Chicago, IL",4,0,0,0
Sidebar Grille,"Sidebar Grille - The Loop - Chicago, IL",4,4,0,0
Nick's Fishmarket,"Nick's Fishmarket - CLOSED - Chicago, IL",4,0,0,0
Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",3,31,2,5
Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",3,80,14,12
Native Foods Cafe,"Native Foods Cafe - The Loop - Chicago, IL",4,6,1,5
ItaliAsia,"ItaliAsia - Near North Side - Chicago, IL",3,0,0,0
Keefer's Kaffe,"Keefer's Kaffe - Near North Side - Chicago, IL",4,0,0,0
